id,t,x,y,z
"2761027","388","0.474753","0.107202","0.0209674"
"2761028","389","0.473177","0.107138","0.021347"
"2761029","390","0.471552","0.107094","0.021682"
"2761030","391","0.469873","0.10708","0.0219038"
"2761031","392","0.468162","0.107083","0.022027"
"2761032","393","0.466448","0.107081","0.022092"
"2761033","394","0.464749","0.107056","0.022142"
"2761034","395","0.463056","0.106994","0.0222403"
"2761035","396","0.461376","0.106893","0.0224726"
"2761036","397","0.459708","0.106773","0.0228665"
"2761037","398","0.458049","0.106654","0.0234051"
"2761038","399","0.456395","0.10655","0.0239865"
"2761039","400","0.454747","0.106479","0.0245805"
"2761040","401","0.453113","0.106459","0.0251865"
"2761041","402","0.451502","0.106489","0.0258237"
"2761042","403","0.449922","0.106564","0.0265088"
"2761043","404","0.448363","0.106682","0.0272309"
"2761044","405","0.446789","0.106844","0.0279692"
"2761045","406","0.445163","0.107041","0.0287019"
"2761046","407","0.4435","0.107272","0.029453"
"2761047","408","0.441834","0.10754","0.030258"
"2761048","409","0.440192","0.107837","0.0311488"
"2761049","410","0.438602","0.108152","0.0321598"
"2761050","411","0.437086","0.108479","0.0333215"
"2761051","412","0.435665","0.108811","0.0346442"
"2761052","413","0.43436","0.109153","0.0361308"
"2761053","414","0.433207","0.109526","0.0377712"
"2761054","415","0.432236","0.109967","0.0395406"
"2761055","416","0.431486","0.110518","0.0414118"
"2761056","417","0.430998","0.111219","0.0433578"
"2761057","418","0.430809","0.112108","0.045352"
"2761058","420","0.430941","0.11319","0.047372"
"2761059","421","0.431412","0.114428","0.0494103"
"2761060","422","0.432234","0.115764","0.0514603"
"2761061","423","0.43341","0.117131","0.0535145"
"2761062","424","0.434925","0.118463","0.0555661"
"2761063","425","0.436749","0.119707","0.0576162"
"2761064","426","0.438816","0.1208","0.0596641"
"2761065","427","0.441058","0.121685","0.0617076"
"2761066","428","0.44343","0.122331","0.0637378"
"2761067","429","0.445878","0.122744","0.0657297"
"2761068","430","0.448347","0.122943","0.0676549"
"2761069","431","0.450799","0.122958","0.0694868"
"2761070","432","0.453212","0.12284","0.0712038"
"2761071","433","0.455567","0.122643","0.0727887"
"2761072","434","0.457852","0.12242","0.0742299"
"2761073","435","0.460062","0.122228","0.0755371"
"2761074","436","0.462197","0.122115","0.0767234"
"2761075","437","0.464255","0.122106","0.0777999"
"2761076","438","0.466251","0.122199","0.0787957"
"2761077","439","0.4682","0.122371","0.0797307"
"2761078","440","0.470118","0.122591","0.0806211"
"2761079","441","0.472019","0.122829","0.0814829"
"2761080","442","0.473923","0.123052","0.0823326"
"2761081","443","0.475864","0.123218","0.0831881"
"2761082","444","0.477887","0.123274","0.0840683"
"2761083","445","0.480003","0.123159","0.0849763"
"2761084","446","0.482212","0.122813","0.0859045"
"2761085","447","0.484524","0.122204","0.0868632"
"2761086","448","0.486898","0.121336","0.0878333"
"2761087","449","0.489277","0.120238","0.0887812"
"2761088","450","0.491633","0.11896","0.0896899"
"2761089","451","0.493977","0.117556","0.0905443"
"2761090","452","0.496326","0.116081","0.0913305"
"2761091","453","0.498703","0.114585","0.0920431"
"2761092","454","0.501126","0.113111","0.0926856"
"2761093","455","0.503612","0.111695","0.0932646"
"2761094","456","0.506163","0.110354","0.0937914"
"2761095","457","0.508781","0.109102","0.0942788"
"2761096","458","0.511462","0.107953","0.0947395"
"2761097","459","0.514194","0.106922","0.0951883"
"2761098","460","0.516958","0.106013","0.095646"
"2761099","461","0.519726","0.105209","0.0961262"
"2761100","462","0.522479","0.10448","0.0966377"
"2761101","463","0.525215","0.1038","0.0971772"
"2761102","464","0.527931","0.103149","0.0977305"
"2761103","465","0.530626","0.102518","0.098285"
"2761104","466","0.533318","0.101912","0.0988343"
"2761105","467","0.536026","0.10134","0.0993745"
"2761106","468","0.538766","0.100811","0.099911"
"2761107","469","0.541531","0.100329","0.100463"
"2761108","470","0.544298","0.0998896","0.101049"
"2761109","471","0.547043","0.0994846","0.101687"
"2761110","472","0.549761","0.0991036","0.10238"
"2761111","473","0.552433","0.0987327","0.10313"
"2761112","474","0.555034","0.098358","0.103936"
"2761113","475","0.557533","0.0979716","0.104793"
"2761114","476","0.559905","0.0975697","0.105694"
"2761115","477","0.56214","0.0971558","0.106628"
"2761116","478","0.564262","0.0967312","0.107581"
"2761117","479","0.566291","0.0962939","0.108537"
"2761118","480","0.568246","0.095841","0.109477"
"2761119","481","0.570145","0.0953709","0.110385"
"2761120","482","0.57201","0.0948871","0.111251"
"2761121","483","0.573856","0.0943964","0.112073"
"2761122","484","0.575699","0.0939028","0.112852"
"2761123","485","0.577559","0.0934112","0.113593"
"2761124","486","0.579452","0.0929231","0.114296"
"2761125","487","0.58139","0.0924389","0.114965"
"2761126","488","0.583377","0.0919584","0.1156"
"2761127","489","0.585421","0.0914814","0.116201"
"2761128","490","0.587523","0.0910086","0.116769"
"2761129","491","0.589682","0.0905457","0.117298"
"2761130","492","0.591882","0.0901021","0.117782"
"2761131","493","0.594104","0.0896866","0.118208"
"2761132","494","0.596332","0.0893038","0.118561"
"2761133","495","0.598549","0.0889554","0.118837"
"2761134","496","0.600747","0.0886373","0.119041"
"2761135","497","0.602918","0.0883439","0.119182"
"2761136","498","0.605053","0.0880694","0.119266"
"2761137","499","0.607147","0.0878068","0.119304"
"2761138","500","0.609199","0.0875423","0.119308"
"2761139","501","0.611202","0.0872587","0.119288"
"2761140","502","0.613159","0.086951","0.119258"
"2761141","503","0.615061","0.0866223","0.119236"
"2761142","504","0.616892","0.0862758","0.119236"
"2761143","505","0.618637","0.0859018","0.119263"
"2761144","506","0.620289","0.0854888","0.119317"
"2761145","507","0.621851","0.0850383","0.119398"
